public libraries (buildings);300006877
conductivity;300220140
cloudy glass;300263719
dawn (time of day);300343621
moiré (pattern);300010241
computer terminals;300024532
output devices;300168260
Ocós;300017143
Bari;300016445
western black willow (wood);300012504
acetylene burners;300182304
fatty acid;300011758
Agona;300264278
indanthrone blue;300013305
crab scrapers;300234769
vapor phase inhibitor;300386426
wadding weft;300227929
sanghas;300000663
microwave ovens;300200798
hichiriki;300214103
truck tractors;300229644
snuff bottles;300220809
full-size moulds;300233441
portland slag cement;300010386
Pendleton blankets;300197395
woodlands (plant communities);300157169
development rights transfer;300055448
Victorian;300021232
Chalcidian (pottery style);300020131
Pterosauria (extinct order);300310270
shell-tempered;300265126
sound poetry;300262601
Ignacieño;300017541
Mediterranean passports;300262615
braces (garment supports);300209996
packsaddles;300299037
Ipiutak;300016741
moving fillister planes;300161706
armillae (stoles);300210388
sectional ladders;300022381
stone working axes;300022977
digital terrain modeling;300266376
building diagnostics;300054607
kylix;300198842
firesets;300175242
ultraviolet photography;300053465
polishing bones (leatherworking tools);300395520
catch basins;300052554
Mpongwe;300016214
hanging pyxes;300257487
tensegrity structures;300079435
Bane;300263159
bicyclists;300258988
fore-edges;300195151
hammer dulcimers;300218041
endytis;300215178
Carib;300017875
bottoms (object portions);300190695
genealogists;300112028
tungsten;300011034
Amen glasses;300265252
illuminations (visual works);300264522
aperture cards;300028594
comitia;300005108
English pewter;300010987
fake fur fabric;300400534
sets (theatrical);300188014
water-baths;300248755
lantern lights;300003064
cane (plant material);300011864
headlines;300195173
dwarf ale glasses;300197021
entertainment centers (inhabited places);300387295
Leo symbols;300169879
greenware;300233427
dedications (ceremonies);300069274
Capodimonte (ceramics style);300380320
Settlements and Landscapes (hierarchy name);300008346
epinetra;300265016
footed beakers;300395624
electronics manufacturers;300386679
Thysanoptera (order);300310493
ergonomics;300054385
ropemaking;300379984
sliding doors;300002855
Yapese (language);300389593
Saint John the Baptist’s Day;300379093
Kusasi;300262856
lobby chests;300170824
cutches (gold-shaping tools);300262882
reweaving;300223986
reliquiari a cassetta;300300837
Hlengwe;300263663
roadhouses;300005206
Orphist;300134101
Chinese (culture or style);300018322
unicyclists;300259013
touring chairs;300038228
corsesca;300203739
kerosene torches;300024731
music rooms;300004520
Kermes (genus);300311342
Guapore (language);300388368
exporters;300025223
Wi-Fi (TM);300312159
plate warmers;300172449
semiautomatic;300037200
Felis silvestris (species);300265719
urban transit systems;300156065
fan-back Windsor chairs;300170046
blending;300053586
blue gum (wood);300012096
Chewa;300137413
limaces;300400636
X-chairs;300037904
chantries;300007450
steel drums;300212773
Wucai ware;300387410
Asplenium scolopendrium (species);300375587
candlemaking;300053597
quipus;300264828
cue sheets;300379048
ECHO houses;300189990
flash memory;300404364
Fabaceae (family);300343861
window frames;300003118
Geoksyur;300112952
screw eyes;300239340
latch bolts;300033348
flower pieces;300265045
live loads;300056429
nickel bronze;300133207
chaplets (headgear);300212078
ointment vessels;300400747
springing (upholstering);300231286
